Source,Bias
The Indian Express,Center
The Wire,Left
The Economist,Right
India Times,Center
Republic TV,Left
Janta Ka Reporter,Right
OpIndia,Right
The Independent,Right
NDTV,Left
Outlook India,Right
News Laundry,Left
India Today,Left
Times of India,Center
National Herald,Left
The Statesman,Left
The Hindu,Left
News18,Left
Deccan Chronicle,Left
Zee News,Right
The Telegraph,Right
First Post,Right
DNA,Center
The Tribune,Right
Scroll.in,Left
Reuters,Center
The Financial Express,Center
Rajya Sabha TV,Left
